,0
mean_fit_time,3.1532858848571776
std_fit_time,0.19833754943624657
mean_score_time,0.061162567138671874
std_score_time,0.0049253483346346424
param_max_features,3
param_min_samples_split,0.5
param_n_estimators,100
params,"{'max_features': 3, 'min_samples_split': 0.5, 'n_estimators': 100}"
split0_test_score,0.5931285903667698
split1_test_score,0.6000883782589483
split2_test_score,0.6053910737958462
split3_test_score,0.6030711444984533
split4_test_score,0.5963981880455198
mean_test_score,0.5996155460792328
std_test_score,0.004426159937385228
rank_test_score,1
split0_train_score,0.6051316043858922
split1_train_score,0.602783992045737
split2_train_score,0.6000773331123815
split3_train_score,0.6033363714198912
split4_train_score,0.6059986743261158
mean_train_score,0.6034655950580036
std_train_score,0.002056875207020592
